Block X,Block Y,Grid X,Grid Y,Time (ms)
32,1,32,1000,0.14723199605941772
32,2,32,500,0.04154880046844482
32,4,32,250,0.023532800376415253
32,8,32,125,0.01499519944190979
32,16,32,63,0.015302400290966033
32,32,32,32,0.015328000485897064
64,1,16,1000,0.04185599982738495
64,2,16,500,0.023391999304294586
64,4,16,250,0.015641599893569946
64,8,16,125,0.014572800695896148
64,16,16,63,0.01496960073709488
128,1,8,1000,0.023999999463558196
128,2,8,500,0.01483519971370697
128,4,8,250,0.014508800208568573
128,8,8,125,0.014924800395965577
256,1,4,1000,0.014847999811172486
256,2,4,500,0.021414400637149812
256,4,4,250,0.021580800414085388
